,_id,Tweets,Created At,User,clean_comments,sentiment
0,632b064d90cea829065ad0bd,"Do you agree with englandline up?
",2021-06-29 15:19:16+00:00,twitter,agree englandline,0
1,632b064d90cea829065ad0be,Do you think Southgate should keep Kane on?,2021-06-29 16:56:33+00:00,twitter,think southgate kane,0
2,632b064d90cea829065ad0bf,"//Food 

#CrollaFoodNFootie #Euro2020 

I am not going to be cooking tomorrow. I might not even be eating, just chewing on my nails. So have this! Sausage, leek and cheese mash, peas and onion gravy.

#Eng  

Give us a bash of the bangers and mash me muvver used to make",2021-07-10 19:19:16+00:00,twitter,food crollafoodnfootie euro going cook tomorrow eat chew nail sausage leek cheese mash peas onion gravy eng bash bangers mash muvver,0
3,632b064d90cea829065ad0c0,"//Food 

#EURO2020 #CrollaFoodNFootie 

This is a big ole cheat, but I had no time yesterday to research and then make anything so 

Have Belgian chocolate cookies and Belgian beer ",2021-06-18 06:58:03+00:00,twitter,food euro crollafoodnfootie big ole cheat time yesterday research belgian chocolate cookies belgian beer,0
4,632b064d90cea829065ad0c1,.......sigh. #GER #Euro2020,2021-06-29 17:43:53+00:00,twitter,sigh ger euro,0
5,632b064d90cea829065ad0c2,"...ah well, #Eng do knock #Ger out and Southgate is well on his way to Knighthood! 

#ENGGER 
#EURO2020 https://t.co/MoCKuy918R",2021-06-29 18:14:22+00:00,twitter,ah eng knock ger southgate way knighthood engger euro,0
6,632b064d90cea829065ad0c3,… also players on both national teams that are Turkish and grew up in Germany,2021-06-15 19:26:20+00:00,twitter,player national team turkish grow germany,0
7,632b064d90cea829065ad0c4,... and a Spain win against Sweden #EURO2020 #ESP #SWE https://t.co/ZmAHiBlUFT,2021-06-14 18:19:49+00:00,twitter,spain win sweden euro esp swe,0
8,632b064d90cea829065ad0c5,"...and Kane is OK to continue.

https://t.co/UVDpOED6yE

#ENGGER | #Euro2020",2021-06-29 17:12:59+00:00,twitter,kane ok continue engger euro,0
9,632b064d90cea829065ad0c6,…and this one stands! #AUT #EURO2020 https://t.co/kIIIiQER28,2021-06-27 10:08:13+00:00,twitter,stand aut euro,0
10,632b064d90cea829065ad0c7,"...and we're off!

https://t.co/UVDpOED6yE

#ENGGER | #Euro2020",2021-06-29 16:00:30+00:00,twitter,engger euro,0
11,632b064d90cea829065ad0c8,... but now with passport + voting rights). There are enough things to reinforce my identity than having to rely on football. Nonetheless having dual citizenship makes me think about my “identities”. I will stick with bi-national &amp; poly cultural (Even if rather pretentious).,2021-06-15 20:28:14+00:00,twitter,passport voting right thing reinforce identity have rely football nonetheless have dual citizenship makes think identity stick bi national amp poly cultural pretentious,0
12,632b064d90cea829065ad0c9,... Look like a NO #FRA v #GER  #EURO2020 #Euros2021 #FRAGER #Germany #FRANCE #FootballFanTalk #POGBA #Mbappe,2021-06-15 20:34:54+00:00,twitter,look like fra ger euro euros frager germany france footballfantalk pogba mbappe,0
13,632b064d90cea829065ad0ca,"…the reported #ENG  starting XI 

Pickford, Trippier, Walker, Stones, Maguire, Shaw, Phillips, Rice, Saka, Sterling + Kane.

Grealish (😡) Foden + Mount: all on the bench.

To me, a REACTIVE lineup as opposed to PROACTIVE. But we’ll have to wait. 

COME ON, #ENG! https://t.co/rzOB2z39pw",2021-06-29 11:24:31+00:00,twitter,report eng start xi pickford trippi walker stone maguire shaw phillips rice saka sterling kane grealish pouting face foden mount bench reactive lineup oppose proactive ll wait come eng,0
